species	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc3	std_gc3	var_gc3	gci	std_gci	var_gci
Vespula_vulgaris	15512	10878	1	0.513211201231956	0.0206552138377814	0.811618123572831	0	0.338924313811164	0.00119658688165153	0.0155753397585744	0.268135009888477	0.000845212051803837	0.00730171285931022
Vespula_pensylvanica	18491	8921	0	0.646971897876048	0.00204827763030024	0.812300638429696	0	0.311657896261974	0.00121949358418125	0.0132669954131862	0.244572548575572	0.000812842074483527	0.00558962553390878
Arvicola_amphibius	40754	15195	0	0.662398075558497	0.00146160404954372	0.78441229235389	0	0.598718803895018	0.000945514055387262	0.0135842818156653	0.457490596846206	0.00048291534412426	0.00319797073937662
Oenanthe_oenanthe	13570	2519	0	0.486890989077205	0.0294671199442664	0.815538024489026	0	0.580025206466701	0.00302317261893177	0.0230225835906403	0.427347812293353	0.00159165354370905	0.00582419694636042
Chelonus_insularis	19220	9875	0	0.703738541704371	0.000535228590884381	0.527712388718295	0	0.249845990784456	0.000579323324347643	0.0033142032020654	0.213583592385829	0.000517885988430717	0.00247768607660481
Branchiostoma_floridae	43041	16223	0	0.828058066241933	0.0000065625488699632	0.317505850668571	0	0.626301856352316	0.000694698221259656	0.00782931095089384	0.388667154073564	0.000221637497198912	0.000741219665503618
Cloeon_dipterum	30082	13879	0	0.829187721417719	0.00000621168061183286	0.38025795241821	0	0.60968720423209	0.0010247660471304	0.0145749687193042	0.326345418427782	0.000515983633481977	0.00355695450988408
Gymnodraco_acuticeps	45727	20527	0	0.576156490538107	0.00784220749666154	0.28470517655848	0	0.639072787397702	0.000681403388950536	0.00953090324432093	0.383604175364504	0.000258364106850843	0.00127790051215392
Pseudochaenichthys_georgianus	37944	17306	0	0.696240601503759	0.000649924405497341	0.368127412194559	0	0.653793299322216	0.000718134278359266	0.00892499566340484	0.390047428421644	0.000279956945226779	0.00128857802690205
Molothrus_ater	28498	13616	0	0.730245904253911	0.000256489393868494	0.849976468829737	0	0.638029653258011	0.00147149393417139	0.0294826485272961	0.466047110134574	0.000854494629774406	0.00941323654426305
Zerene_cesonia	17465	9777	0	0.833146486831912	0.00000510752068498453	0.620350829117319	0	0.476830142311754	0.00161119071409655	0.0253804615515758	0.298580925570914	0.000439103614495887	0.00171602665994384
Osmia_lignaria	25907	9839	0	0.689940596514056	0.000761784604515744	0.828035106709924	0	0.378881022138378	0.00144874800625756	0.0206507896598653	0.28384239430306	0.000840095724735957	0.00651276090896877
Bombus_vosnesenskii	24067	9393	0	0.738288858546377	0.000201778330682777	0.832414299175474	0	0.351345966404046	0.00146312536509799	0.0201079316886974	0.270598518155411	0.000859170400979256	0.00657269931858948
Bombus_bifarius	23896	9752	0	0.764358301836461	0.0000871269627187963	0.83494953772378	0	0.357722647507467	0.00144914740187845	0.0204794749320026	0.27325052507724	0.000846799452340662	0.00660922785316914
Arvicanthis_niloticus	41473	16596	0	0.607452400754864	0.00450066917208958	0.775904676170816	0	0.590261193689249	0.000904502222277551	0.0135775903866631	0.450554402955833	0.000462250678499146	0.00323462259178248
Anneissia_japonica	32774	16086	0	0.559067125909546	0.01038831681086	0.0180052074940883	0.0300429870668392	0.383889314694515	0.000405034448558702	0.00263895502209669	0.326527038640234	0.000235473227761297	0.000805044299567546
Oxyura_jamaicensis	39795	11975	0	0.778578609799076	0.0000526508825562483	0.857455160376467	0	0.576308928069388	0.00159794870251794	0.0305774446691481	0.455186068479092	0.00097405045587502	0.0108824411130711
Ignelater_luminosus	27558	15040	0	0.616950246578062	0.00375989448304515	0.327039510640009	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000968368665848843	0.273260641563833	0.000494564218956081	0.00367869025074145	0.276549787588431	0.000513242862708079	0.00342522732427856
Belonocnema_treatae	25246	11025	0	0.743874524478574	0.000169951058855758	-0.0554062020776019	0.0000000150189856884622	0.393729671699022	0.000744551243620208	0.00611178101199979	0.273952085321867	0.000433700979642201	0.00196128261989614
Stegodyphus_dumicola	29944	13362	0	0.56390977443609	0.00960697153757661	0.340777997279136	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000260866661004178	0.319365037569961	0.000710092868139509	0.00673754639903423	0.321032983621875	0.000201468896539136	0.000481475214426732
Odontomachus_brunneus	29175	10957	0	0.751618891842897	0.000132992443824246	0.704352975920124	0	0.505117142337356	0.00142415105942528	0.0222230557723608	0.315757082141286	0.000725222128262166	0.005405158709695
Eudyptes_filholi	12955	3462	0	0.712188185707682	0.000427021840580816	0.872864595831952	0	0.567044520991104	0.00285794012935326	0.0282769990126343	0.450365220667317	0.00174662659532499	0.00956090778859823
Chiroxiphia_lanceolata	39412	2629	0	0.670228008042226	0.00122260454610763	0.862897865513652	0	0.608336180112012	0.00317867931621161	0.0265634217714739	0.459463578928575	0.00176248395436671	0.00798331870175828
Cyclopterus_lumpus	38625	17428	0	0.583678115740954	0.00689648702271959	0.442170880765195	0	0.675550215387345	0.000799627405796068	0.0111435327046094	0.39936774431707	0.000309006778271327	0.00158619995996079
